"factor_sub_class","pcc_factor_unit","AIC.three_level","AIC.within","AIC.between","LRT.pval.within","LRT.pval.between","best_model"
"Personal behaviour","Perception of extension (1= confident)","-51.748","-53.1129","-51.2995","LRT = 0.6352, p = 0.4255","LRT = 2.4485, p = 0.1176","Two-level"
"Physical capital","Plot size (continuous)","17.3922","1809.7993","15.3922","LRT = 1794.4071, p < 0.0001","LRT = 0, p = 1","Two-level"
"Biophysical","Precipitation (mm/year)","-29.9176","-31.9176","-24.9974","LRT = 0, p = 1","LRT = 6.9202, p = 0.0085","Two-level"
"Personal behaviour","Production constraint (1= drought)","-14.0344","-15.8287","-14.9529","LRT = 0.2058, p = 0.6501","LRT = 1.0815, p = 0.2984","Two-level"
"Personal behaviour","Production constraint (1= pest)","3.5353","707.3683","1.5353","LRT = 705.833, p < 0.0001","LRT = 0, p = 1","Two-level"
"Personal behaviour","Production constraint (1= soil fertility)","-8.7966","-10.7966","-10.7966","LRT = 0, p = 1","LRT = 0, p = 1","Two-level"
"Financial capital","Receive support for conservation (1= yes)","-9.35","7.5877","-9.5593","LRT = 18.9378, p < 0.0001","LRT = 1.7907, p = 0.1808","Two-level"
"Social capital","Relatives and friends (number)","-75.6719","-73.9083","-73.5109","LRT = 3.7636, p = 0.0524","LRT = 4.1611, p = 0.0414","Two-level"
"Personal behaviour","Risk attitude (1= risk-averse)","-28.6188","-29.9671","-30.1167","LRT = 0.6518, p = 0.4195","LRT = 0.5021, p = 0.4786","Two-level"
"Personal behaviour","Risk attitude (1= risk-willing)","5.5691","110.0847","9.5738","LRT = 106.5156, p < 0.0001","LRT = 6.0047, p = 0.0143","Three-level"
"Biophysical","Soil depth (1 = moderate)","-49.7107","-50.8333","-48.2725","LRT = 0.8773, p = 0.3489","LRT = 3.4382, p = 0.0637","Two-level"
"Biophysical","Soil depth (1 = shallow)","-22.6292","-23.314","-24.6292","LRT = 1.3152, p = 0.2515","LRT = 0, p = 1","Two-level"
"Biophysical","Soil depth (1= deep)","-27.5093","-29.1894","-29.3381","LRT = 0.3199, p = 0.5717","LRT = 0.1713, p = 0.679","Two-level"
"Biophysical","Soil fertility (1= high)","-54.1615","-55.6075","-54.7062","LRT = 0.554, p = 0.4567","LRT = 1.4553, p = 0.2277","Two-level"
"Biophysical","Soil fertility (1= moderate)","-35.8479","12.6265","-37.7728","LRT = 50.4744, p < 0.0001","LRT = 0.0751, p = 0.7841","Two-level"
"Biophysical","Soil fertility (1= poor)","-27.3272","-27.7059","-29.2788","LRT = 1.6212, p = 0.2029","LRT = 0.0484, p = 0.8259","Two-level"
"Biophysical","Soil slope (1= flat)","-77.2698","-77.6828","-72.0961","LRT = 1.587, p = 0.2078","LRT = 7.1736, p = 0.0074","Two-level"
"Biophysical","Soil slope (1= moderate)","-84.9551","-86.7597","-86.7002","LRT = 0.1953, p = 0.6585","LRT = 0.2549, p = 0.6137","Two-level"
"Biophysical","Soil slope (1= steep)","-26.959","-13.0988","-9.1482","LRT = 15.8603, p = 1e-04","LRT = 19.8108, p = 0","Three-level"
"Biophysical","Temperature (Celsius)","5.8391","484.1901","3.9756","LRT = 480.351, p < 0.0001","LRT = 0.1365, p = 0.7118","Two-level"
"Financial capital","Total income (continuous)","-42.0786","-44.0786","-43.7444","LRT = 0, p = 1","LRT = 0.3342, p = 0.5632","Two-level"
"Technical information","Use of DFS (1= yes)","-9.8486","70.9688","-11.8486","LRT = 82.8175, p < 0.0001","LRT = 0, p = 1","Two-level"
