"pcc_factor_unit","moderator","moderator_class","estimate","se","tval","df","pval","ci.lb","ci.ub","beta","se.1","ci.lb.1","ci.ub.1","tval.1","pval.1","df.1","factor_sub_class","significance2"
"Access to non-farm income (1= yes)","m_region","Asia",0.00367081640817425,0.0300389991789506,0.12220168808908,56,0.903176773579092,-0.0565045299005374,0.0638461627168859,0.00367081640817425,0.0300389991789506,-0.0565045299005374,0.0638461627168859,0.12220168808908,0.903176773579092,56,"Financial capital","no_significant_positive"
"Access to non-farm income (1= yes)","m_region","Europe",-0.000381674419143682,0.123869158077801,-0.0030812707946554,56,0.997552455943822,-0.248521415689999,0.247758066851712,-0.000381674419143682,0.123869158077801,-0.248521415689999,0.247758066851712,-0.0030812707946554,0.997552455943822,56,"Financial capital","no_significant_negative"
"Access to non-farm income (1= yes)","m_region","Latin America and the Caribbean",-0.0213857508293058,0.0713528795058756,-0.299718118979974,56,0.765501856114648,-0.164322744462522,0.12155124280391,-0.0213857508293058,0.0713528795058756,-0.164322744462522,0.12155124280391,-0.299718118979974,0.765501856114648,56,"Financial capital","no_significant_negative"
"Access to non-farm income (1= yes)","m_region","Northern America",0.0147786086764298,0.0509204438769515,0.29022937647877,56,0.772712800822831,-0.0872272979196872,0.116784515272547,0.0147786086764298,0.0509204438769515,-0.0872272979196872,0.116784515272547,0.29022937647877,0.772712800822831,56,"Financial capital","no_significant_positive"
"Extension frequency (number of contacts)","m_region","Africa",0.20712128646559,0.067413545718188,3.07239864420467,21,0.00577867292672971,0.0669271434678643,0.347315429463317,0.20712128646559,0.067413545718188,0.0669271434678643,0.347315429463317,3.07239864420467,0.00577867292672971,21,"Technical information","significant_positive"
"Extension frequency (number of contacts)","m_region","Asia",0.231381369204328,0.145145430949467,1.59413470813894,21,0.125846731044271,-0.0704650784971479,0.533227816905805,0.231381369204328,0.145145430949467,-0.0704650784971479,0.533227816905805,1.59413470813894,0.125846731044271,21,"Technical information","no_significant_positive"
"Access to irrigation (1= yes)","m_region","Africa",-0.0672846323095123,0.0974750056451717,-0.690275746732877,13,0.502159104679973,-0.277866579293875,0.14329731467485,-0.0672846323095123,0.0974750056451717,-0.277866579293875,0.14329731467485,-0.690275746732877,0.502159104679973,13,"Physical capital","no_significant_negative"
"Access to irrigation (1= yes)","m_region","Asia",0.0699268028950511,0.168280779278753,0.415536481318636,13,0.684526296292912,-0.293621718143901,0.433475323934003,0.0699268028950511,0.168280779278753,-0.293621718143901,0.433475323934003,0.415536481318636,0.684526296292912,13,"Physical capital","no_significant_positive"
"Access to irrigation (1= yes)","m_region","Latin America and the Caribbean",-0.0636586861167256,0.292203733008276,-0.217857196625625,13,0.830922713784251,-0.694926472209226,0.567609099975775,-0.0636586861167256,0.292203733008276,-0.694926472209226,0.567609099975775,-0.217857196625625,0.830922713784251,13,"Physical capital","no_significant_negative"
"Access to irrigation (1= yes)","m_region","Northern America",-0.0685187299852839,0.143896767321394,-0.476165874055023,13,0.641859280100718,-0.379388795872743,0.242351335902175,-0.0685187299852839,0.143896767321394,-0.379388795872743,0.242351335902175,-0.476165874055023,0.641859280100718,13,"Physical capital","no_significant_negative"
"Household is native (1= yes)","m_region","Africa",0.0228182148986989,0.0350454645899273,0.651103221649322,12,0.527251688005898,-0.0535392929714833,0.0991757227688811,0.0228182148986989,0.0350454645899273,-0.0535392929714833,0.0991757227688811,0.651103221649322,0.527251688005898,12,"Socio-demographic","no_significant_positive"
"Household is native (1= yes)","m_region","Asia",0.0410069273794834,0.0535291819853895,0.766066766921192,12,0.458441248152444,-0.0756231410918751,0.157636995850842,0.0410069273794834,0.0535291819853895,-0.0756231410918751,0.157636995850842,0.766066766921192,0.458441248152444,12,"Socio-demographic","no_significant_positive"
"Household is native (1= yes)","m_region","Latin America and the Caribbean",-0.374506090658726,0.116692874011663,-3.2093312794858,12,0.00750151175485648,-0.628758021686079,-0.120254159631373,-0.374506090658726,0.116692874011663,-0.628758021686079,-0.120254159631373,-3.2093312794858,0.00750151175485648,12,"Socio-demographic","significant_negative"
"Land tenure (1= owned)","m_region","Africa",0.0916319731967989,0.0464880687074459,1.97108582362172,58,0.0534919089439609,-0.0014240067390405,0.184687953132638,0.0916319731967989,0.0464880687074459,-0.0014240067390405,0.184687953132638,1.97108582362172,0.0534919089439609,58,"Physical capital","no_significant_positive"
"Land tenure (1= owned)","m_region","Asia",0.029241969829966,0.0789710269414084,0.370287318812021,58,0.712517248698876,-0.128835715539556,0.187319655199488,0.029241969829966,0.0789710269414084,-0.128835715539556,0.187319655199488,0.370287318812021,0.712517248698876,58,"Physical capital","no_significant_positive"
"Land tenure (1= owned)","m_region","Europe",0.249473071017413,0.134776490320614,1.85101326220881,58,0.0692616707296249,-0.0203113861090907,0.519257528143916,0.249473071017413,0.134776490320614,-0.0203113861090907,0.519257528143916,1.85101326220881,0.0692616707296249,58,"Physical capital","no_significant_positive"
"Land tenure (1= owned)","m_region","Latin America and the Caribbean",0.137106786849227,0.212193153179842,0.646141427254363,58,0.520736285615097,-0.287643957886772,0.561857531585226,0.137106786849227,0.212193153179842,-0.287643957886772,0.561857531585226,0.646141427254363,0.520736285615097,58,"Physical capital","no_significant_positive"
"Land tenure (1= owned)","m_region","Northern America",0.0572562759185433,0.208614080147092,0.274460265952194,58,0.78470615883735,-0.360330175750767,0.474842727587853,0.0572562759185433,0.208614080147092,-0.360330175750767,0.474842727587853,0.274460265952194,0.78470615883735,58,"Physical capital","no_significant_positive"
"Farming experience (continuous)","m_region","Africa",0.0834243263221278,0.0390419099724901,2.13678906541485,63,0.0365050069351801,0.00540529476665606,0.1614433578776,0.0834243263221278,0.0390419099724901,0.00540529476665606,0.1614433578776,2.13678906541485,0.0365050069351801,63,"Technical information","significant_positive"
"Farming experience (continuous)","m_region","Asia",0.178743290213146,0.0615027751370234,2.90626382004584,63,0.00504235880709296,0.0558398011792954,0.301646779246997,0.178743290213146,0.0615027751370234,0.0558398011792954,0.301646779246997,2.90626382004584,0.00504235880709296,63,"Technical information","significant_positive"
"Farming experience (continuous)","m_region","Europe",-0.0299507270348952,0.16917499901385,-0.17703991257268,63,0.860044987896487,-0.368019986345178,0.308118532275388,-0.0299507270348952,0.16917499901385,-0.368019986345178,0.308118532275388,-0.17703991257268,0.860044987896487,63,"Technical information","no_significant_negative"
"Farming experience (continuous)","m_region","Northern America",0.00256458069169952,0.0684878792599113,0.0374457600295513,63,0.970247990859517,-0.134297525104647,0.139426686488046,0.00256458069169952,0.0684878792599113,-0.134297525104647,0.139426686488046,0.0374457600295513,0.970247990859517,63,"Technical information","no_significant_positive"
"Access to credit (1= yes)","m_region","Africa",0.00802657011577602,0.0315736565077302,0.254217312898519,67,0.800106266036348,-0.0549947120407787,0.0710478522723308,0.00802657011577602,0.0315736565077302,-0.0549947120407787,0.0710478522723308,0.254217312898519,0.800106266036348,67,"Financial capital","no_significant_positive"
"Access to credit (1= yes)","m_region","Asia",-0.131145477345119,0.08144295444626,-1.61027406528646,67,0.112039810363202,-0.293706294796355,0.031415340106118,-0.131145477345119,0.08144295444626,-0.293706294796355,0.031415340106118,-1.61027406528646,0.112039810363202,67,"Financial capital","no_significant_negative"
"Access to credit (1= yes)","m_region","Latin America and the Caribbean",0.152143200602167,0.244414176623181,0.622481079879135,67,0.535738458673022,-0.335709537779916,0.63999593898425,0.152143200602167,0.244414176623181,-0.335709537779916,0.63999593898425,0.622481079879135,0.535738458673022,67,"Financial capital","no_significant_positive"
"Access to training (1= yes)","m_region","Africa",0.0927892195293181,0.0284239956709033,3.26446783216701,30,0.0027412268273755,0.0347396760726067,0.150838762986029,0.0927892195293181,0.0284239956709033,0.0347396760726067,0.150838762986029,3.26446783216701,0.0027412268273755,30,"Technical information","significant_positive"
"Access to training (1= yes)","m_region","Asia",0.0345299616010314,0.0326806367773169,1.05658778426858,30,0.299134354083721,-0.0322128027436681,0.101272725945731,0.0345299616010314,0.0326806367773169,-0.0322128027436681,0.101272725945731,1.05658778426858,0.299134354083721,30,"Technical information","no_significant_positive"
"Access to training (1= yes)","m_region","Europe",0.0945808735067377,0.0769254567946067,1.229513316499,30,0.228435458913437,-0.0625218680932786,0.251683615106754,0.0945808735067377,0.0769254567946067,-0.0625218680932786,0.251683615106754,1.229513316499,0.228435458913437,30,"Technical information","no_significant_positive"
"Access to training (1= yes)","m_region","Northern America",0.0198536005495436,0.0646256792921385,0.307209158449167,30,0.760806666149042,-0.112129644238548,0.151836845337635,0.0198536005495436,0.0646256792921385,-0.112129644238548,0.151836845337635,0.307209158449167,0.760806666149042,30,"Technical information","no_significant_positive"
"Livestock owned (1= yes)","m_region","Africa",0.0411827763767941,0.0900207443148624,0.457480958308349,23,0.651617571668881,-0.145039321445733,0.227404874199322,0.0411827763767941,0.0900207443148624,-0.145039321445733,0.227404874199322,0.457480958308349,0.651617571668881,23,"Physical capital","no_significant_positive"
"Livestock owned (1= yes)","m_region","Asia",0.00939675135268264,0.0988588711820027,0.0950521813604658,23,0.925096666210644,-0.195108404875404,0.213901907580769,0.00939675135268264,0.0988588711820027,-0.195108404875404,0.213901907580769,0.0950521813604658,0.925096666210644,23,"Physical capital","no_significant_positive"
"Livestock owned (1= yes)","m_region","Latin America and the Caribbean",-0.0636586861167256,0.284024159905409,-0.224131236363577,23,0.824634229777509,-0.651207426047927,0.523890053814476,-0.0636586861167256,0.284024159905409,-0.651207426047927,0.523890053814476,-0.224131236363577,0.824634229777509,23,"Physical capital","no_significant_negative"
"Livestock owned (1= yes)","m_region","Northern America",-0.0106790969443904,0.100806737928411,-0.105936340802678,23,0.916551395966789,-0.219213722541516,0.197855528652735,-0.0106790969443904,0.100806737928411,-0.219213722541516,0.197855528652735,-0.105936340802678,0.916551395966789,23,"Physical capital","no_significant_negative"
"Plot size (continuous)","m_region","Africa",0.195901904717492,0.0836629383718348,2.34156137149784,19,0.0302539527453863,0.0207933622427623,0.371010447192223,0.195901904717492,0.0836629383718348,0.0207933622427623,0.371010447192223,2.34156137149784,0.0302539527453863,19,"Physical capital","significant_positive"
"Plot size (continuous)","m_region","Asia",-0.0630899621106133,0.107582041865615,-0.586435812302404,19,0.564485693175931,-0.288261763557708,0.162081839336481,-0.0630899621106133,0.107582041865615,-0.288261763557708,0.162081839336481,-0.586435812302404,0.564485693175931,19,"Physical capital","no_significant_negative"
"Soil fertility (1= high)","m_region","Africa",-0.000180159571927244,0.0132591656936611,-0.0135875496309224,18,0.989308507810835,-0.0280366330129478,0.0276763138690933,-0.000180159571927244,0.0132591656936611,-0.0280366330129478,0.0276763138690933,-0.0135875496309224,0.989308507810835,18,"Biophysical","no_significant_negative"
"Soil fertility (1= high)","m_region","Asia",0.0263943326024964,0.0173411194422289,1.52206624782373,18,0.145366534002463,-0.0100380074361347,0.0628266726411275,0.0263943326024964,0.0173411194422289,-0.0100380074361347,0.0628266726411275,1.52206624782373,0.145366534002463,18,"Biophysical","no_significant_positive"
"Relatives and friends (number)","m_region","Africa",0.0240711985341804,0.00761796246292701,3.15979484689291,19,0.0051583053116802,0.00812661985369458,0.0400157772146662,0.0240711985341804,0.00761796246292701,0.00812661985369458,0.0400157772146662,3.15979484689291,0.0051583053116802,19,"Social capital","significant_positive"
"Relatives and friends (number)","m_region","Asia",-0.0086302641296606,0.0121345183761756,-0.711216041883035,19,0.485590967646407,-0.0340281029796559,0.0167675747203347,-0.0086302641296606,0.0121345183761756,-0.0340281029796559,0.0167675747203347,-0.711216041883035,0.485590967646407,19,"Social capital","no_significant_negative"
"Communicate with other farmers (1= yes)","m_region","Africa",0.145703732576499,0.0275054476626743,5.29726817623199,13,0.000144547324811186,0.0862818255640796,0.205125639588918,0.145703732576499,0.0275054476626743,0.0862818255640796,0.205125639588918,5.29726817623199,0.000144547324811186,13,"Social capital","significant_positive"
"Communicate with other farmers (1= yes)","m_region","Asia",0.0378438969037102,0.0203091170398465,1.86339449565732,13,0.0851490422931278,-0.00603128298960856,0.0817190767970289,0.0378438969037102,0.0203091170398465,-0.00603128298960856,0.0817190767970289,1.86339449565732,0.0851490422931278,13,"Social capital","no_significant_positive"
"Communicate with other farmers (1= yes)","m_region","Northern America",0.0381213517556127,0.0314479625401186,1.21220418356136,13,0.247005582146219,-0.0298178408256754,0.106060544336901,0.0381213517556127,0.0314479625401186,-0.0298178408256754,0.106060544336901,1.21220418356136,0.247005582146219,13,"Social capital","no_significant_positive"
"Use of DFS (1= yes)","m_region","Africa",0.0501918109885319,0.0388724679736483,1.29119177672375,19,0.21212623972258,-0.0311691995345307,0.131552821511594,0.0501918109885319,0.0388724679736483,-0.0311691995345307,0.131552821511594,1.29119177672375,0.21212623972258,19,"Technical information","no_significant_positive"
"Use of DFS (1= yes)","m_region","Asia",0.149214687991768,0.170366815046878,0.875843619842929,19,0.392053563446804,-0.207367153974278,0.505796529957814,0.149214687991768,0.170366815046878,-0.207367153974278,0.505796529957814,0.875843619842929,0.392053563446804,19,"Technical information","no_significant_positive"
"Use of DFS (1= yes)","m_region","Northern America",0.167325185368093,0.114881202121934,1.45650621927246,19,0.161580412394229,-0.0731239340724571,0.407774304808643,0.167325185368093,0.114881202121934,-0.0731239340724571,0.407774304808643,1.45650621927246,0.161580412394229,19,"Technical information","no_significant_positive"
"Receive support for conservation (1= yes)","m_region","Africa",0.019005081012148,0.050725386319018,0.374666067452356,18,0.712286490104384,-0.0875650011052182,0.125575163129514,0.019005081012148,0.050725386319018,-0.0875650011052182,0.125575163129514,0.374666067452356,0.712286490104384,18,"Financial capital","no_significant_positive"
"Receive support for conservation (1= yes)","m_region","Asia",-0.0854213751881202,0.0876556359577106,-0.974510928530958,18,0.342718367782568,-0.269579032723019,0.0987362823467789,-0.0854213751881202,0.0876556359577106,-0.269579032723019,0.0987362823467789,-0.974510928530958,0.342718367782568,18,"Financial capital","no_significant_negative"
"Receive support for conservation (1= yes)","m_region","Europe",0.276011493454552,0.0955086380759032,2.8899113107989,18,0.00975558448647022,0.0753552906874821,0.476667696221621,0.276011493454552,0.0955086380759032,0.0753552906874821,0.476667696221621,2.8899113107989,0.00975558448647022,18,"Financial capital","significant_positive"
"Receive support for conservation (1= yes)","m_region","Northern America",0.0565574992792274,0.0589618215194769,0.959222388686631,18,0.350155107879136,-0.0673166910837999,0.180431689642255,0.0565574992792274,0.0589618215194769,-0.0673166910837999,0.180431689642255,0.959222388686631,0.350155107879136,18,"Financial capital","no_significant_positive"
"Marital status (1= married)","m_region","Africa",0.00534330584164495,0.0263976530099486,0.202415943554952,16,0.842143004386278,-0.0506172186611489,0.0613038303444388,0.00534330584164495,0.0263976530099486,-0.0506172186611489,0.0613038303444388,0.202415943554952,0.842143004386278,16,"Socio-demographic","no_significant_positive"
"Marital status (1= married)","m_region","Asia",0.0102588671739405,0.0503309819079134,0.203828075373343,16,0.841057761536899,-0.0964380480876543,0.116955782435535,0.0102588671739405,0.0503309819079134,-0.0964380480876543,0.116955782435535,0.203828075373343,0.841057761536899,16,"Socio-demographic","no_significant_positive"
"Non-farm income (continuous)","m_region","Africa",0.220127178557674,0.0873771201540852,2.51927710789153,17,0.0220591249222474,0.0357775693103717,0.404476787804976,0.220127178557674,0.0873771201540852,0.0357775693103717,0.404476787804976,2.51927710789153,0.0220591249222474,17,"Financial capital","significant_positive"
"Non-farm income (continuous)","m_region","Asia",-0.0136670538922383,0.148372385125218,-0.0921131912835676,17,0.927684884949905,-0.326705423349707,0.29937131556523,-0.0136670538922383,0.148372385125218,-0.326705423349707,0.29937131556523,-0.0921131912835676,0.927684884949905,17,"Financial capital","no_significant_negative"
"Non-farm income (continuous)","m_region","Europe",0.107430291281345,0.335548798784666,0.320162944020213,17,0.752746365074681,-0.600515791517801,0.815376374080491,0.107430291281345,0.335548798784666,-0.600515791517801,0.815376374080491,0.320162944020213,0.752746365074681,17,"Financial capital","no_significant_positive"
"Non-farm income (continuous)","m_region","Northern America",-0.0487457253559185,0.323320950732985,-0.150765749158567,17,0.881935000793304,-0.730893303852248,0.633401853140411,-0.0487457253559185,0.323320950732985,-0.730893303852248,0.633401853140411,-0.150765749158567,0.881935000793304,17,"Financial capital","no_significant_negative"
"Gender (1= male)","m_sub_region","Central America",0.0636586861167256,0.19328004170097,0.329359852970303,125,0.742434941828662,-0.318866504284098,0.44618387651755,0.0636586861167256,0.19328004170097,-0.318866504284098,0.44618387651755,0.329359852970303,0.742434941828662,125,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_sub_region","Eastern Africa",-0.00573915139133827,0.0235464536876294,-0.243737399587838,125,0.807833779814276,-0.0523405055759563,0.0408622027932797,-0.00573915139133827,0.0235464536876294,-0.0523405055759563,0.0408622027932797,-0.243737399587838,0.807833779814276,125,"Socio-demographic","no_significant_negative"
"Gender (1= male)","m_sub_region","Eastern Asia",-0.00360925310900879,0.131982223484571,-0.0273465093534411,125,0.97822697253519,-0.264818453622682,0.257599947404664,-0.00360925310900879,0.131982223484571,-0.264818453622682,0.257599947404664,-0.0273465093534411,0.97822697253519,125,"Socio-demographic","no_significant_negative"
"Gender (1= male)","m_sub_region","Eastern Europe",0.0396984491393791,0.138302655972276,0.287040396009004,125,0.774556658783141,-0.234019671692696,0.313416569971454,0.0396984491393791,0.138302655972276,-0.234019671692696,0.313416569971454,0.287040396009004,0.774556658783141,125,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_sub_region","Middle Africa",0.0207980646749876,0.0634985291224234,0.327536164418699,125,0.743810311517893,-0.104873405224149,0.146469534574124,0.0207980646749876,0.0634985291224234,-0.104873405224149,0.146469534574124,0.327536164418699,0.743810311517893,125,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_sub_region","Northern America",0.0450943257725561,0.0634255313248645,0.710980654487288,125,0.478420781339958,-0.0804326724254966,0.170621323970609,0.0450943257725561,0.0634255313248645,-0.0804326724254966,0.170621323970609,0.710980654487288,0.478420781339958,125,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_sub_region","South-eastern Asia",0.0208536023228191,0.0562336822189043,0.370838285880711,125,0.711385698240546,-0.0904398339182899,0.132147038563928,0.0208536023228191,0.0562336822189043,-0.0904398339182899,0.132147038563928,0.370838285880711,0.711385698240546,125,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_sub_region","Southern Africa",0.0704348082752917,0.114119507563356,0.617202174975985,125,0.538224033779933,-0.155421860498916,0.2962914770495,0.0704348082752917,0.114119507563356,-0.155421860498916,0.2962914770495,0.617202174975985,0.538224033779933,125,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_sub_region","Southern Asia",0.0079715954732548,0.0845743134668503,0.0942555150196915,125,0.925057106649185,-0.159411467346953,0.175354658293463,0.0079715954732548,0.0845743134668503,-0.159411467346953,0.175354658293463,0.0942555150196915,0.925057106649185,125,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_sub_region","Southern Europe",0.104591330329892,0.135796930549638,0.770203935439177,125,0.442632122371367,-0.164167648906644,0.373350309566429,0.104591330329892,0.135796930549638,-0.164167648906644,0.373350309566429,0.770203935439177,0.442632122371367,125,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_sub_region","Western Africa",-0.0294594636246076,0.038362886047012,-0.767915729502372,125,0.443985478254478,-0.105384376307326,0.0464654490581111,-0.0294594636246076,0.038362886047012,-0.105384376307326,0.0464654490581111,-0.767915729502372,0.443985478254478,125,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_sub_region","Eastern Africa",-0.0105540033471088,0.0243283067638496,-0.43381577886018,150,0.665045512219914,-0.0586244343734874,0.0375164276792698,-0.0105540033471088,0.0243283067638496,-0.0586244343734874,0.0375164276792698,-0.43381577886018,0.665045512219914,150,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_sub_region","Eastern Asia",0.0816496580927726,0.188003224441936,0.434299243191915,150,0.664695226889876,-0.289826915307802,0.453126231493347,0.0816496580927726,0.188003224441936,-0.289826915307802,0.453126231493347,0.434299243191915,0.664695226889876,150,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_sub_region","Eastern Europe",-0.0629092584455077,0.195759667953673,-0.321359650346339,150,0.7483852017707,-0.449711829929721,0.323893313038706,-0.0629092584455077,0.195759667953673,-0.449711829929721,0.323893313038706,-0.321359650346339,0.7483852017707,150,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_sub_region","Middle Africa",0.0222888228439012,0.0673766001024146,0.330809551239176,150,0.741249990581874,-0.110840960476149,0.155418606163952,0.0222888228439012,0.0673766001024146,-0.110840960476149,0.155418606163952,0.330809551239176,0.741249990581874,150,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_sub_region","Northern Africa",-0.104518211600804,0.208706991654879,-0.500789220198416,150,0.61725351168794,-0.516903469007074,0.307867045805466,-0.104518211600804,0.208706991654879,-0.516903469007074,0.307867045805466,-0.500789220198416,0.61725351168794,150,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_sub_region","Northern America",0.00268254899600935,0.0344150359587659,0.0779470054665474,150,0.937974088433326,-0.0653183040179148,0.0706834020099335,0.00268254899600935,0.0344150359587659,-0.0653183040179148,0.0706834020099335,0.0779470054665474,0.937974088433326,150,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_sub_region","South-eastern Asia",0.0241955925290876,0.0534518367932138,0.452661573122206,150,0.651446469042341,-0.0814201767368394,0.129811361795015,0.0241955925290876,0.0534518367932138,-0.0814201767368394,0.129811361795015,0.452661573122206,0.651446469042341,150,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_sub_region","South America",0.086914886719337,0.197314637667477,0.440488793668768,150,0.660217255878212,-0.302960157711765,0.476789931150439,0.086914886719337,0.197314637667477,-0.302960157711765,0.476789931150439,0.440488793668768,0.660217255878212,150,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_sub_region","Southern Africa",0.00553729591796285,0.114038478861853,0.0485563817864563,150,0.961337423452359,-0.219791942392513,0.230866534228438,0.00553729591796285,0.114038478861853,-0.219791942392513,0.230866534228438,0.0485563817864563,0.961337423452359,150,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_sub_region","Southern Asia",-0.0419483700196233,0.0583096114865589,-0.719407469029234,150,0.473009230032357,-0.157162642198426,0.0732659021591789,-0.0419483700196233,0.0583096114865589,-0.157162642198426,0.0732659021591789,-0.719407469029234,0.473009230032357,150,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_sub_region","Southern Europe",0.000943682657026577,0.114001010908081,0.00827784463935557,150,0.993406310061683,-0.224311522523854,0.226198887837908,0.000943682657026577,0.114001010908081,-0.224311522523854,0.226198887837908,0.00827784463935557,0.993406310061683,150,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_sub_region","Western Africa",0.0625668912083189,0.037046906361491,1.68885603018543,150,0.0933247361774739,-0.0106342885645788,0.135768070981217,0.0625668912083189,0.037046906361491,-0.0106342885645788,0.135768070981217,1.68885603018543,0.0933247361774739,150,"Socio-demographic","no_significant_positive"
