"article_id","model_id","main_crop","country","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","y_metric_recla","x_metric_raw","x_metric_recla","x_metric_unit_raw","x_metric_unit_recla","x_data_type","transformation_coefficient","transformation_variance_num","model_analysis_raw","m_model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","variance_ci_l","variance_ci_l_num","variance_ci_u","variance_ci_u_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","limitation_of_use_obs","factor_metric","coefficient_variance_type","model_coefficient_variance_type","t_value_pcc","b_logOR","se_logOR","m_region","m_sub_region","Developed_Developing","m_intervention_recla2","m_exact_variance_value","m_random_sample","m_mean_farm_size_ha","m_sampling_unit","m_type_data","m_av_year_assessment","factor_sub_class.x","x_metric_recla2","pcc_unit","logor_unit","n_articles","pcc","logor","pcc_factor_unit","ES_ID","yi","vi","factor_sub_class.y","AIC.three_level","AIC.within","AIC.between","LRT.pval.within","LRT.pval.between","best_model"
35,2,"Cereals","Nepal","agroforestry","alley cropping",NA,"exotic trees","n fixing","diversity adoption (1=yes, 0=no)","Household size","h size","number of people","number of people","continuous","none",NA,"multinomial logit model","logit","B",-0.078,-0.078,"P","0.57999999999999996",0.58,"na",NA,"na",NA,"nd",NA,"0.57999999999999996",0.58,"nd",16,16,222,222,"no limitation","h size (number of people)","B_P","logit_B_P",-0.553384719555673,-0.078,0.140950765793873,"Asia","Southern Asia","Developing regions","Agroforestry",1,1,"29.25",1,1,2014,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",38,-0.0386212293721,0.00483989818520495,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
35,2,"Cereals","Nepal","agroforestry","alley cropping",NA,"exotic trees","n fixing","diversity adoption (1=yes, 0=no)","Landholding size","farm size","ktha (30 ktha=1ha)","ha","continuous","3.3333333333333333E-2",0.0333333333333333,"multinomial logit model","logit","B",0.095,0.095,"P","3.0000000000000001E-3",0.003,"na",NA,"na",NA,"nd",NA,"3.0000000000000001E-3",0.003,"nd",16,16,222,222,"no limitation","farm size (ha)","B_P","logit_B_P",2.96773792534178,0.00316666666666667,0.00106703042732521,"Asia","Southern Asia","Developing regions","Agroforestry",1,1,"29.25",1,1,2014,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",40,0.2029617089668,0.00446266985508087,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
35,2,"Cereals","Nepal","agroforestry","alley cropping",NA,"exotic trees","n fixing","diversity adoption (1=yes, 0=no)","Livestock herd size","units of livestock","LSU","LSU","continuous","none",NA,"multinomial logit model","logit","B",0.178,0.178,"P","0.17899999999999999",0.179,"na",NA,"na",NA,"nd",NA,"0.17899999999999999",0.179,"nd",16,16,222,222,"no limitation","units of livestock (LSU)","B_P","logit_B_P",1.34384040688121,0.178,0.132456204686614,"Asia","Southern Asia","Developing regions","Agroforestry",1,1,"29.25",1,1,2014,"Physical capital","Livestock units","continuous",NA,1,1,"-","Livestock units (continuous)",41,0.0934471855272433,0.00476995874482094,"Physical capital",-52.6923,-13.7226,-17.2244,"LRT = 40.9696, p < 0.0001","LRT = 37.4679, p = 0","Three-level"
35,2,"Cereals","Nepal","agroforestry","alley cropping",NA,"exotic trees","n fixing","diversity adoption (1=yes, 0=no)","Membership: Member of farmers’ group and organization","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"multinomial logit model","logit","B",0.115,0.115,"P","1.9E-2",0.019,"na",NA,"na",NA,"nd",NA,"1.9E-2",0.019,"nd",16,16,222,222,"no limitation","hh association member (1= yes, 0= no)","B_P","logit_B_P",2.34553097080667,0.115,0.0490294101554537,"Asia","Southern Asia","Developing regions","Agroforestry",1,1,"29.25",1,1,2014,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",44,0.161664088648651,0.00460394416318382,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
44,1,"nd","Cameroon","agroforestry","alley cropping",NA,NA,"n fixing","diversity adoption (1=yes, 0=no)","FHSIZE (size of household)","h size","number of people","number of people","continuous","none",NA,"logit regression model","logit","B",-0.0012593,-0.0012593,"SE","5.4179999999999999E-2",0.05418,"na",NA,"na",NA,"-2.3E-2",-0.023,"nd",NA,"nd",14,14,156,156,"no limitation","h size (number of people)","B_SE","logit_B_SE",-0.0232428940568475,-0.0012593,0.05418,"Africa","Middle Africa","Developing regions","Agroforestry",1,1,"nd",1,1,NA,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",49,-0.0019574010382896,0.00704219955758472,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
44,1,"nd","Cameroon","agroforestry","alley cropping",NA,NA,"n fixing","diversity adoption (1=yes, 0=no)","FAS (membership of farmers' associations)","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logit regression model","logit","B",2.4813,2.4813,"SE","0.6472",0.6472,"na",NA,"na",NA,"3.8340000000000001",3.834,"0.05",0.05,"nd",14,14,156,156,"no limitation","hh association member (1= yes, 0= no)","B_SE","logit_B_SE",3.83389987639061,2.4813,0.6472,"Africa","Middle Africa","Developing regions","Agroforestry",1,1,"nd",1,1,NA,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",52,0.307254428122312,0.00577536472091693,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
44,1,"nd","Cameroon","agroforestry","alley cropping",NA,NA,"n fixing","diversity adoption (1=yes, 0=no)","CONT (contact with agroforestry extension agents)","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logit regression model","logit","B",3.1709,3.1709,"SE","1.111",1.111,"na",NA,"na",NA,"2.8530000000000002",2.853,"0.05",0.05,"nd",14,14,156,156,"no limitation","access to agricultural extension (1= yes, 0= no)","B_SE","logit_B_SE",2.85409540954095,3.1709,1.111,"Africa","Middle Africa","Developing regions","Agroforestry",1,1,"nd",1,1,NA,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",53,0.233702245253021,0.00629401062925385,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
45,1,"nd","Nigeria","agroforestry","alley cropping",NA,NA,"n fixing","diversity adoption (1=yes, 0=no)","FHHSIZE (family size)","h size","number of people","number of people","continuous","none",NA,"logit regression model","logit","B",-0.0154,-0.0154,"SE","2.9100000000000001E-2",0.0291,"na",NA,"na",NA,"nd",NA,"0.59760000000000002",0.5976,"nd",20,20,223,223,"no limitation","h size (number of people)","B_SE","logit_B_SE",-0.529209621993127,-0.0154,0.0291,"Africa","Western Africa","Developing regions","Agroforestry",1,1,"nd",1,1,1996,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",58,-0.0372092736109645,0.00491247712728142,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
45,1,"nd","Nigeria","agroforestry","alley cropping",NA,NA,"n fixing","diversity adoption (1=yes, 0=no)","FAS (membership of farmers associations)","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logit regression model","logit","B",0.3817,0.3817,"SE","0.64659999999999995",0.6466,"na",NA,"na",NA,"nd",NA,"0.55489999999999995",0.5549,"nd",20,20,223,223,"no limitation","hh association member (1= yes, 0= no)","B_SE","logit_B_SE",0.590318589545314,0.3817,0.6466,"Africa","Western Africa","Developing regions","Agroforestry",1,1,"nd",1,1,1996,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",60,0.0414988909779138,0.00490915591095182,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
45,2,"nd","Nigeria","agroforestry and fallow","alley cropping with fallow periods",NA,NA,"n fixing","diversity adoption (1=yes, 0=no)","CONT (contact with agroforestry research, Extension or NGO)","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logit regression model","logit","B",1.8227,1.8227,"SE","1.1532",1.1532,"na",NA,"na",NA,"nd",NA,"0.114",0.114,"nd",12,12,223,223,"no limitation","access to agricultural extension (1= yes, 0= no)","B_SE","logit_B_SE",1.58055844606313,1.8227,1.1532,"Africa","Western Africa","Developing regions","Combined systems",1,1,"nd",1,1,1996,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",65,0.108425883039291,0.00462855859410923,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
45,2,"nd","Nigeria","agroforestry and fallow","alley cropping with fallow periods",NA,NA,"n fixing","diversity adoption (1=yes, 0=no)","FHHSIZE (family size)","h size","number of people","number of people","continuous","none",NA,"logit regression model","logit","B",0.0803,0.0803,"SE","7.3800000000000004E-2",0.0738,"na",NA,"na",NA,"nd",NA,"0.27760000000000001",0.2776,"nd",12,12,223,223,"no limitation","h size (number of people)","B_SE","logit_B_SE",1.08807588075881,0.0803,0.0738,"Africa","Western Africa","Developing regions","Combined systems",1,1,"nd",1,1,1996,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",66,0.0748736096861348,0.00468634745509486,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
45,2,"nd","Nigeria","agroforestry and fallow","alley cropping with fallow periods",NA,NA,"n fixing","diversity adoption (1=yes, 0=no)","FAS (membership of farmers associations)","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logit regression model","logit","B",-1.0364,-1.0364,"SE","1.7605999999999999",1.7606,"na",NA,"na",NA,"nd",NA,"0.55610000000000004",0.5561,"nd",12,12,223,223,"no limitation","hh association member (1= yes, 0= no)","B_SE","logit_B_SE",-0.588662955810519,-1.0364,1.7606,"Africa","Western Africa","Developing regions","Combined systems",1,1,"nd",1,1,1996,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",67,-0.0405881294563087,0.00472373422468668,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
49,1,"Cocoa","Ghana","agroforestry","parklands","scattered trees",NA,NA,"diversity adoption (1=yes, 0=no)","Access Extension Service","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"binomial logistic regression model","logit","B",4.295,4.295,"SE","1.0369999999999999",1.037,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",15,15,80,80,"no limitation","access to agricultural extension (1= yes, 0= no)","B_SE","logit_B_SE",4.14175506268081,4.295,1.037,"Africa","Western Africa","Developing regions","Agroforestry",1,1,"2.7",1,1,2015,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",74,0.459757778046965,0.0095680907361494,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
78,1,"Mixed","Tanzania","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","HH size","h size","number of people","number of people","continuous","none",NA,"logistic regression model","logit","B",0.008,0.008,"SE","9.1999999999999998E-2",0.092,"na",NA,"na",NA,"nd",NA,"0.92800000000000005",0.928,"nd",18,18,144,144,"no limitation","h size (number of people)","B_SE","logit_B_SE",0.0869565217391304,0.008,0.092,"Africa","Eastern Africa","Developing regions","Combined systems",1,1,"2.3471799999999998",1,1,2009,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",79,0.00777739251833861,0.00793554784119055,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
78,1,"Mixed","Tanzania","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","Total land","farm size","acres","ha","continuous","0.40468599999999999",0.404686,"logistic regression model","logit","B",-0.001,-0.001,"SE","4.1000000000000002E-2",0.041,"na",NA,"na",NA,"nd",NA,"0.97899999999999998",0.979,"nd",18,18,144,144,"no limitation","farm size (ha)","B_SE","logit_B_SE",-0.024390243902439,-0.000404686,0.016592126,"Africa","Eastern Africa","Developing regions","Combined systems",1,1,"2.3471799999999998",1,1,2009,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",83,-0.00218152454313615,0.0079364323962221,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
78,2,"Mixed","Tanzania","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","Perceived distance from household house to plot (min)","distance farm-house","minutes","minutes","continuous","none",NA,"logistic regression model","logit","B",1e-04,1e-04,"SE","5.0000000000000001E-3",0.005,"na",NA,"na",NA,"nd",NA,"0.92600000000000005",0.926,"nd",4,4,144,144,"no limitation","distance farm-house (minutes)","B_SE","logit_B_SE",0.02,1e-04,0.005,"Africa","Eastern Africa","Developing regions","Combined systems",1,1,"2.3471799999999998",1,1,2009,"Accessibility","Distance farm-house","continuous","minutes",9,1,"2","Distance farm-house (continuous)",87,0.00169637541853376,0.00714281603306543,"Accessibility",-33.1386,60.2305,-18.7032,"LRT = 95.3691, p < 0.0001","LRT = 16.4354, p = 1e-04","Three-level"
89,1,"nd","Sierra Leone","agroforestry","alley cropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","Land availability (LAA)","farm size","acres","ha","continuous","0.40468599999999999",0.404686,"logistic regression model","logit","B",-1.22,-1.22,"SE","0.66200000000000003",0.662,"na",NA,"na",NA,"-2.0630000000000002",-2.063,"0.05",0.05,"nd",14,14,160,160,"no limitation","farm size (ha)","B_SE","logit_B_SE",-1.8429003021148,-0.49371692,0.267902132,"Africa","Western Africa","Developing regions","Agroforestry",1,1,"0.40468599999999999",1,1,NA,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",90,-0.151283070980689,0.00653938808112484,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
89,1,"nd","Sierra Leone","agroforestry","alley cropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","Household size (HHS)","h size","number of people","number of people","continuous","none",NA,"logistic regression model","logit","B",-0.02,-0.02,"SE","4.2999999999999997E-2",0.043,"na",NA,"na",NA,"-2.1000000000000001E-2",-0.021,"nd",NA,"nd",14,14,160,160,"no limitation","h size (number of people)","B_SE","logit_B_SE",-0.465116279069767,-0.02,0.043,"Africa","Western Africa","Developing regions","Agroforestry",1,1,"0.40468599999999999",1,1,NA,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",91,-0.0385970228466197,0.00682892300651193,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
89,1,"nd","Sierra Leone","agroforestry","alley cropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","Ext. agent access (EAA)","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logistic regression model","logit","B",2.27,2.27,"SE","0.24299999999999999",0.243,"na",NA,"na",NA,"2.7549999999999999",2.755,"0.05",0.05,"nd",14,14,160,160,"no limitation","access to agricultural extension (1= yes, 0= no)","B_SE","logit_B_SE",9.34156378600823,2.27,0.243,"Africa","Western Africa","Developing regions","Agroforestry",1,1,"0.40468599999999999",1,1,NA,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",95,0.612953983855435,0.00266941626625999,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
89,1,"nd","Sierra Leone","agroforestry","alley cropping",NA,NA,NA,"diversity adoption (1=yes, 0=no)","Farmers' assocn. mem. (FAM)","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logistic regression model","logit","B",2.51,2.51,"SE","0.56799999999999995",0.568,"na",NA,"na",NA,"3.6520000000000001",3.652,"0.05",0.05,"nd",14,14,160,160,"no limitation","hh association member (1= yes, 0= no)","B_SE","logit_B_SE",4.41901408450704,2.51,0.568,"Africa","Western Africa","Developing regions","Agroforestry",1,1,"0.40468599999999999",1,1,NA,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",96,0.344513219930792,0.0053199208661379,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
93,1,"Maize","Kenya","intercropping",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Household size","h size","number of people","number of people","continuous","none",NA,"logistic regression model","logit","B",-0.051,-0.051,"SE","4.4999999999999998E-2",0.045,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",9,9,320,320,"no limitation","h size (number of people)","B_SE","logit_B_SE",-1.13333333333333,-0.051,0.045,"Africa","Eastern Africa","Developing regions","Intercropping",1,1,"3.9",1,0,2014,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",100,-0.064236068569912,0.00318895331547959,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
93,1,"Maize","Kenya","intercropping",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Member of agricultural groups/projects","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logistic regression model","logit","B",-0.36,-0.36,"SE","0.37",0.37,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",9,9,320,320,"no limitation","hh association member (1= yes, 0= no)","B_SE","logit_B_SE",-0.972972972972973,-0.36,0.37,"Africa","Eastern Africa","Developing regions","Intercropping",1,1,"3.9",1,0,2014,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",101,-0.0551769660947718,0.00319588512472898,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
