"moderator","factor_sub_class","pcc_factor_unit","moderator_class","beta","ci.lb","ci.ub","tval","df","pval","f_test","significance2","significance"
"m_region","Technical information","Access to extension (1= yes)","Northern America",0.0817,-0.1016,0.265,0.8965,47,0.3745,"QM (5, 47) = 1.8175, p =0.1277","no_significant_positive","0.3745"
"m_region","Accessibility","Distance farm-house (continuous)","Africa",-0.0729,-0.1997,0.0539,-1.2124,17,0.242,"QM (2, 17) = 0.9159, p =0.419","no_significant_negative","0.242"
"m_region","Accessibility","Distance farm-house (continuous)","Asia",-0.0537,-0.2419,0.1345,-0.6017,17,0.5553,"QM (2, 17) = 0.9159, p =0.419","no_significant_negative","0.5553"
"m_region","Accessibility","Distance market (continuous)","Africa",-0.0016,-0.1229,0.1196,-0.0283,20,0.9777,"QM (2, 20) = 0.3676, p =0.697","no_significant_negative","0.9777"
"m_region","Accessibility","Distance market (continuous)","Asia",0.1091,-0.1564,0.3745,0.8569,20,0.4016,"QM (2, 20) = 0.3676, p =0.697","no_significant_positive","0.4016"
"m_region","Technical information","Access to information (1= yes)","Africa",0.047,-0.0809,0.1748,0.7791,16,0.4473,"QM (4, 16) = 2.4298, p =0.0903","no_significant_positive","0.4473"
"m_region","Technical information","Access to information (1= yes)","Asia",0.2327,0.0676,0.3978,2.9884,16,0.0087,"QM (4, 16) = 2.4298, p =0.0903","significant_positive","0.0087**"
"m_region","Technical information","Access to information (1= yes)","Europe",0.0833,-0.3309,0.4976,0.4264,16,0.6755,"QM (4, 16) = 2.4298, p =0.0903","no_significant_positive","0.6755"
"m_region","Technical information","Access to information (1= yes)","Northern America",0.0021,-0.4213,0.4255,0.0104,16,0.9918,"QM (4, 16) = 2.4298, p =0.0903","no_significant_positive","0.9918"
"m_region","Financial capital","On-farm income (continuous)","Africa",0.1199,-0.0289,0.2688,1.7085,16,0.1069,"QM (3, 16) = 1.2066, p =0.3393","no_significant_positive","0.1069"
"m_region","Financial capital","On-farm income (continuous)","Asia",0.0877,-0.2329,0.4083,0.5801,16,0.5699,"QM (3, 16) = 1.2066, p =0.3393","no_significant_positive","0.5699"
"m_region","Financial capital","On-farm income (continuous)","Northern America",0.043,-0.1081,0.1942,0.6035,16,0.5546,"QM (3, 16) = 1.2066, p =0.3393","no_significant_positive","0.5546"
"m_region","Technical information","Awareness of practice (1= yes)","Africa",0.0341,-0.148,0.2162,0.4434,7,0.6709,"QM (4, 7) = 6.9053, p =0.0141","no_significant_positive","0.6709"
"m_region","Technical information","Awareness of practice (1= yes)","Asia",0.1317,-0.1172,0.3805,1.2513,7,0.251,"QM (4, 7) = 6.9053, p =0.0141","no_significant_positive","0.251"
"m_region","Technical information","Awareness of practice (1= yes)","Europe",0.6003,0.3024,0.8981,4.7653,7,0.002,"QM (4, 7) = 6.9053, p =0.0141","significant_positive","0.002**"
"m_region","Technical information","Awareness of practice (1= yes)","Latin America and the Caribbean",0.328,-0.1089,0.7649,1.7751,7,0.1191,"QM (4, 7) = 6.9053, p =0.0141","no_significant_positive","0.1191"
"m_sub_region","Physical capital","Farm size (continuous)","Central America",0.0637,-0.3209,0.4482,0.3298,75,0.7425,"QM (13, 75) = 0.7479, p =0.7106","no_significant_positive","0.7425"
"m_sub_region","Physical capital","Farm size (continuous)","Eastern Africa",0.0359,-0.0216,0.0934,1.2425,75,0.2179,"QM (13, 75) = 0.7479, p =0.7106","no_significant_positive","0.2179"
"m_sub_region","Physical capital","Farm size (continuous)","Eastern Asia",0.0496,-0.2705,0.3698,0.3089,75,0.7582,"QM (13, 75) = 0.7479, p =0.7106","no_significant_positive","0.7582"
"m_sub_region","Physical capital","Farm size (continuous)","Middle Africa",0.0455,-0.26,0.3511,0.2968,75,0.7674,"QM (13, 75) = 0.7479, p =0.7106","no_significant_positive","0.7674"
"m_sub_region","Physical capital","Farm size (continuous)","Northern Africa",-0.1854,-0.5996,0.2288,-0.8917,75,0.3754,"QM (13, 75) = 0.7479, p =0.7106","no_significant_negative","0.3754"
"m_sub_region","Physical capital","Farm size (continuous)","Northern America",0.0135,-0.106,0.133,0.2252,75,0.8224,"QM (13, 75) = 0.7479, p =0.7106","no_significant_positive","0.8224"
"m_sub_region","Physical capital","Farm size (continuous)","South-eastern Asia",0.1231,0.008,0.2381,2.1311,75,0.0364,"QM (13, 75) = 0.7479, p =0.7106","significant_positive","0.0364*"
"m_sub_region","Physical capital","Farm size (continuous)","South America",0.0088,-0.3953,0.4129,0.0432,75,0.9656,"QM (13, 75) = 0.7479, p =0.7106","no_significant_positive","0.9656"
"m_sub_region","Physical capital","Farm size (continuous)","Southern Africa",0.0277,-0.2291,0.2846,0.2152,75,0.8302,"QM (13, 75) = 0.7479, p =0.7106","no_significant_positive","0.8302"
"m_sub_region","Physical capital","Farm size (continuous)","Southern Asia",0.0852,-0.0329,0.2033,1.4364,75,0.155,"QM (13, 75) = 0.7479, p =0.7106","no_significant_positive","0.155"
"m_sub_region","Physical capital","Farm size (continuous)","Southern Europe",-0.005,-0.2625,0.2525,-0.0387,75,0.9692,"QM (13, 75) = 0.7479, p =0.7106","no_significant_negative","0.9692"
"m_sub_region","Physical capital","Farm size (continuous)","Western Africa",-0.0301,-0.1317,0.0716,-0.5891,75,0.5576,"QM (13, 75) = 0.7479, p =0.7106","no_significant_negative","0.5576"
"m_sub_region","Physical capital","Farm size (continuous)","Western Europe",-0.0394,-0.4362,0.3574,-0.1977,75,0.8438,"QM (13, 75) = 0.7479, p =0.7106","no_significant_negative","0.8438"
"m_sub_region","Physical capital","Livestock units (continuous)","Eastern Africa",0.0185,-0.1031,0.1402,0.3169,21,0.7545,"QM (6, 21) = 0.2357, p =0.9599","no_significant_positive","0.7545"
"m_sub_region","Physical capital","Livestock units (continuous)","Northern America",0.0934,-0.1908,0.3776,0.6836,21,0.5017,"QM (6, 21) = 0.2357, p =0.9599","no_significant_positive","0.5017"
"m_sub_region","Physical capital","Livestock units (continuous)","South-eastern Asia",0.0062,-0.3409,0.3533,0.0371,21,0.9707,"QM (6, 21) = 0.2357, p =0.9599","no_significant_positive","0.9707"
"m_sub_region","Physical capital","Livestock units (continuous)","Southern Africa",-0.1037,-0.6372,0.4298,-0.4041,21,0.6902,"QM (6, 21) = 0.2357, p =0.9599","no_significant_negative","0.6902"
"m_sub_region","Physical capital","Livestock units (continuous)","Southern Asia",0.1141,-0.1744,0.4027,0.8227,21,0.4199,"QM (6, 21) = 0.2357, p =0.9599","no_significant_positive","0.4199"
"m_sub_region","Physical capital","Livestock units (continuous)","Western Africa",0.0167,-0.4812,0.5147,0.0698,21,0.945,"QM (6, 21) = 0.2357, p =0.9599","no_significant_positive","0.945"
"m_sub_region","Social capital","Adults in household (continuous)","Eastern Africa",0.1121,-0.0916,0.3158,1.2452,9,0.2445,"QM (7, 9) = 2.11, p =0.1469","no_significant_positive","0.2445"
"m_sub_region","Social capital","Adults in household (continuous)","Eastern Asia",0.0153,-0.4082,0.4389,0.0819,9,0.9365,"QM (7, 9) = 2.11, p =0.1469","no_significant_positive","0.9365"
"m_sub_region","Social capital","Adults in household (continuous)","Eastern Europe",-0.1108,-0.6007,0.379,-0.5118,9,0.6211,"QM (7, 9) = 2.11, p =0.1469","no_significant_negative","0.6211"
"m_sub_region","Social capital","Adults in household (continuous)","South-eastern Asia",-0.0696,-0.2962,0.1571,-0.6945,9,0.5049,"QM (7, 9) = 2.11, p =0.1469","no_significant_negative","0.5049"
"m_sub_region","Social capital","Adults in household (continuous)","South America",0.1521,-0.331,0.6353,0.7123,9,0.4943,"QM (7, 9) = 2.11, p =0.1469","no_significant_positive","0.4943"
"m_sub_region","Social capital","Adults in household (continuous)","Southern Asia",0.4901,0.1687,0.8114,3.4499,9,0.0073,"QM (7, 9) = 2.11, p =0.1469","significant_positive","0.0073**"
"m_sub_region","Social capital","Adults in household (continuous)","Western Africa",0.0355,-0.2929,0.3639,0.2445,9,0.8123,"QM (7, 9) = 2.11, p =0.1469","no_significant_positive","0.8123"
"m_sub_region","Socio-demographic","Household size (continuous)","Central America",0.0637,-0.3473,0.4746,0.3101,58,0.7576,"QM (9, 58) = 0.3058, p =0.97","no_significant_positive","0.7576"
"m_sub_region","Socio-demographic","Household size (continuous)","Eastern Africa",0.0211,-0.0455,0.0877,0.6343,58,0.5284,"QM (9, 58) = 0.3058, p =0.97","no_significant_positive","0.5284"
"m_sub_region","Socio-demographic","Household size (continuous)","Middle Africa",-2e-04,-0.2328,0.2324,-0.0014,58,0.9989,"QM (9, 58) = 0.3058, p =0.97","no_significant_negative","0.9989"
"m_sub_region","Socio-demographic","Household size (continuous)","Northern America",0.0487,-0.3546,0.4521,0.2419,58,0.8097,"QM (9, 58) = 0.3058, p =0.97","no_significant_positive","0.8097"
"m_sub_region","Socio-demographic","Household size (continuous)","South-eastern Asia",-0.0118,-0.2426,0.219,-0.1023,58,0.9189,"QM (9, 58) = 0.3058, p =0.97","no_significant_negative","0.9189"
"m_sub_region","Socio-demographic","Household size (continuous)","Southern Africa",-0.1176,-0.5516,0.3164,-0.5425,58,0.5895,"QM (9, 58) = 0.3058, p =0.97","no_significant_negative","0.5895"
"m_sub_region","Socio-demographic","Household size (continuous)","Southern Asia",0.0036,-0.1301,0.1372,0.0538,58,0.9573,"QM (9, 58) = 0.3058, p =0.97","no_significant_positive","0.9573"
"m_sub_region","Socio-demographic","Household size (continuous)","Southern Europe",0.1074,-0.3353,0.5501,0.4858,58,0.629,"QM (9, 58) = 0.3058, p =0.97","no_significant_positive","0.629"
"m_sub_region","Socio-demographic","Household size (continuous)","Western Africa",0.0779,-0.0434,0.1992,1.2852,58,0.2038,"QM (9, 58) = 0.3058, p =0.97","no_significant_positive","0.2038"
"m_sub_region","Social capital","Association member (1= yes)","Eastern Africa",0.1215,0.019,0.2239,2.3866,46,0.0212,"QM (10, 46) = 1.404, p =0.2088","significant_positive","0.0212*"
"m_sub_region","Social capital","Association member (1= yes)","Eastern Asia",-0.0425,-0.3601,0.2751,-0.2695,46,0.7888,"QM (10, 46) = 1.404, p =0.2088","no_significant_negative","0.7888"
"m_sub_region","Social capital","Association member (1= yes)","Middle Africa",0.2214,-0.0399,0.4827,1.7059,46,0.0948,"QM (10, 46) = 1.404, p =0.2088","no_significant_positive","0.0948"
"m_sub_region","Social capital","Association member (1= yes)","Northern America",0.02,-0.3025,0.3426,0.125,46,0.9011,"QM (10, 46) = 1.404, p =0.2088","no_significant_positive","0.9011"
"m_sub_region","Social capital","Association member (1= yes)","South-eastern Asia",0.0293,-0.1528,0.2114,0.324,46,0.7474,"QM (10, 46) = 1.404, p =0.2088","no_significant_positive","0.7474"
"m_sub_region","Social capital","Association member (1= yes)","South America",-0.0618,-0.5444,0.4208,-0.2578,46,0.7977,"QM (10, 46) = 1.404, p =0.2088","no_significant_negative","0.7977"
"m_sub_region","Social capital","Association member (1= yes)","Southern Africa",0.0763,-0.3582,0.5108,0.3534,46,0.7254,"QM (10, 46) = 1.404, p =0.2088","no_significant_positive","0.7254"
"m_sub_region","Social capital","Association member (1= yes)","Southern Asia",0.1938,0.0201,0.3675,2.2464,46,0.0295,"QM (10, 46) = 1.404, p =0.2088","significant_positive","0.0295*"
"m_sub_region","Social capital","Association member (1= yes)","Southern Europe",0.0093,-0.3205,0.339,0.0566,46,0.9551,"QM (10, 46) = 1.404, p =0.2088","no_significant_positive","0.9551"
"m_sub_region","Social capital","Association member (1= yes)","Western Africa",-2e-04,-0.1254,0.1249,-0.0038,46,0.997,"QM (10, 46) = 1.404, p =0.2088","no_significant_negative","0.997"
"m_sub_region","Technical information","Access to extension (1= yes)","Central America",0.0637,-0.38,0.5073,0.2902,39,0.7732,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.7732"
"m_sub_region","Technical information","Access to extension (1= yes)","Eastern Africa",0.0799,-0.0258,0.1856,1.5292,39,0.1343,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.1343"
"m_sub_region","Technical information","Access to extension (1= yes)","Eastern Asia",0.0849,-0.3367,0.5065,0.4072,39,0.6861,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.6861"
"m_sub_region","Technical information","Access to extension (1= yes)","Eastern Europe",0.0016,-0.4469,0.45,0.007,39,0.9944,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.9944"
"m_sub_region","Technical information","Access to extension (1= yes)","Middle Africa",0.1249,-0.1236,0.3733,1.0165,39,0.3156,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.3156"
"m_sub_region","Technical information","Access to extension (1= yes)","Northern America",0.0822,-0.1152,0.2796,0.8426,39,0.4046,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.4046"
"m_sub_region","Technical information","Access to extension (1= yes)","South-eastern Asia",0.0595,-0.2458,0.3648,0.3941,39,0.6956,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.6956"
"m_sub_region","Technical information","Access to extension (1= yes)","South America",-0.0618,-0.5045,0.3809,-0.2825,39,0.7791,"QM (12, 39) = 0.7873, p =0.66","no_significant_negative","0.7791"
"m_sub_region","Technical information","Access to extension (1= yes)","Southern Africa",-0.07,-0.499,0.3589,-0.3301,39,0.7431,"QM (12, 39) = 0.7873, p =0.66","no_significant_negative","0.7431"
"m_sub_region","Technical information","Access to extension (1= yes)","Southern Asia",0.178,-0.0147,0.3708,1.8682,39,0.0693,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.0693"
"m_sub_region","Technical information","Access to extension (1= yes)","Southern Europe",0.1074,-0.3664,0.5813,0.4586,39,0.6491,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.6491"
"m_sub_region","Technical information","Access to extension (1= yes)","Western Africa",0.0617,-0.0589,0.1823,1.0353,39,0.3069,"QM (12, 39) = 0.7873, p =0.66","no_significant_positive","0.3069"
"m_sub_region","Accessibility","Distance farm-house (continuous)","Eastern Africa",-0.0159,-0.0378,0.006,-1.5572,14,0.1417,"QM (5, 14) = 112.2567, p =0","no_significant_negative","0.1417"
"m_sub_region","Accessibility","Distance farm-house (continuous)","Middle Africa",0.0916,0.0096,0.1736,2.3948,14,0.0312,"QM (5, 14) = 112.2567, p =0","significant_positive","0.0312*"
"m_sub_region","Accessibility","Distance farm-house (continuous)","South-eastern Asia",-0.0119,-0.0572,0.0334,-0.5647,14,0.5812,"QM (5, 14) = 112.2567, p =0","no_significant_negative","0.5812"
"m_sub_region","Accessibility","Distance farm-house (continuous)","Southern Asia",-0.0279,-0.0815,0.0257,-1.1178,14,0.2824,"QM (5, 14) = 112.2567, p =0","no_significant_negative","0.2824"
"m_sub_region","Accessibility","Distance farm-house (continuous)","Western Africa",-0.895,-0.9767,-0.8132,-23.4852,14,0,"QM (5, 14) = 112.2567, p =0","significant_negative","0***"
"m_sub_region","Accessibility","Distance market (continuous)","Eastern Africa",0.0231,-0.1153,0.1616,0.3522,17,0.729,"QM (5, 17) = 0.7579, p =0.5922","no_significant_positive","0.729"
"m_sub_region","Accessibility","Distance market (continuous)","Northern Africa",0.2404,-0.3419,0.8227,0.871,17,0.3959,"QM (5, 17) = 0.7579, p =0.5922","no_significant_positive","0.3959"
"m_sub_region","Accessibility","Distance market (continuous)","South-eastern Asia",0.2706,-0.3,0.8412,1.0007,17,0.331,"QM (5, 17) = 0.7579, p =0.5922","no_significant_positive","0.331"
"m_sub_region","Accessibility","Distance market (continuous)","Southern Asia",0.0624,-0.2433,0.3681,0.4306,17,0.6721,"QM (5, 17) = 0.7579, p =0.5922","no_significant_positive","0.6721"
"m_sub_region","Accessibility","Distance market (continuous)","Western Africa",-0.1902,-0.4961,0.1158,-1.3114,17,0.2072,"QM (5, 17) = 0.7579, p =0.5922","no_significant_negative","0.2072"
"m_sub_region","Technical information","Access to information (1= yes)","Eastern Africa",0.061,-0.0892,0.2112,0.8713,14,0.3983,"QM (6, 14) = 2.0783, p =0.1217","no_significant_positive","0.3983"
"m_sub_region","Technical information","Access to information (1= yes)","Northern America",0.0021,-0.4191,0.4232,0.0106,14,0.9917,"QM (6, 14) = 2.0783, p =0.1217","no_significant_positive","0.9917"
"m_sub_region","Technical information","Access to information (1= yes)","South-eastern Asia",0.1017,-0.1489,0.3523,0.8705,14,0.3987,"QM (6, 14) = 2.0783, p =0.1217","no_significant_positive","0.3987"
"m_sub_region","Technical information","Access to information (1= yes)","Southern Asia",0.3326,0.1151,0.5502,3.2792,14,0.0055,"QM (6, 14) = 2.0783, p =0.1217","significant_positive","0.0055**"
"m_sub_region","Technical information","Access to information (1= yes)","Southern Europe",0.0833,-0.3278,0.4943,0.4344,14,0.6706,"QM (6, 14) = 2.0783, p =0.1217","no_significant_positive","0.6706"
"m_sub_region","Technical information","Access to information (1= yes)","Western Africa",0.0116,-0.2271,0.2503,0.1041,14,0.9186,"QM (6, 14) = 2.0783, p =0.1217","no_significant_positive","0.9186"
"m_sub_region","Financial capital","On-farm income (continuous)","Eastern Africa",0.1495,-0.0342,0.3332,1.7343,15,0.1034,"QM (4, 15) = 0.9731, p =0.4511","no_significant_positive","0.1034"
"m_sub_region","Financial capital","On-farm income (continuous)","Northern America",0.043,-0.111,0.197,0.595,15,0.5607,"QM (4, 15) = 0.9731, p =0.4511","no_significant_positive","0.5607"
"m_sub_region","Financial capital","On-farm income (continuous)","South-eastern Asia",0.0877,-0.2386,0.4141,0.5731,15,0.5751,"QM (4, 15) = 0.9731, p =0.4511","no_significant_positive","0.5751"
"m_sub_region","Financial capital","On-farm income (continuous)","Western Africa",0.0565,-0.2115,0.3246,0.4496,15,0.6594,"QM (4, 15) = 0.9731, p =0.4511","no_significant_positive","0.6594"
"m_sub_region","Technical information","Awareness of practice (1= yes)","Eastern Africa",0.0282,-0.112,0.1684,0.5584,4,0.6064,"QM (7, 4) = 46.1938, p =0.0012","no_significant_positive","0.6064"
"m_sub_region","Technical information","Awareness of practice (1= yes)","Eastern Europe",0.8856,0.7434,1.0278,17.2921,4,1e-04,"QM (7, 4) = 46.1938, p =0.0012","significant_positive","1e-04***"
"m_sub_region","Technical information","Awareness of practice (1= yes)","South-eastern Asia",0.0736,-0.1756,0.3228,0.82,4,0.4583,"QM (7, 4) = 46.1938, p =0.0012","no_significant_positive","0.4583"
"m_sub_region","Technical information","Awareness of practice (1= yes)","South America",0.328,0.0705,0.5855,3.5367,4,0.0241,"QM (7, 4) = 46.1938, p =0.0012","significant_positive","0.0241*"
"m_sub_region","Technical information","Awareness of practice (1= yes)","Southern Asia",0.1524,-0.0127,0.3174,2.5624,4,0.0625,"QM (7, 4) = 46.1938, p =0.0012","no_significant_positive","0.0625"
"m_sub_region","Technical information","Awareness of practice (1= yes)","Southern Europe",0.2177,-0.0857,0.5211,1.9926,4,0.1171,"QM (7, 4) = 46.1938, p =0.0012","no_significant_positive","0.1171"
"m_sub_region","Technical information","Awareness of practice (1= yes)","Western Africa",0.0183,-0.0729,0.1094,0.5569,4,0.6073,"QM (7, 4) = 46.1938, p =0.0012","no_significant_positive","0.6073"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Agro-aquaculture",0.203,-0.0455,0.4515,1.6254,80,0.108,"QM (9, 80) = 1.2283, p =0.2898","no_significant_positive","0.108"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Agro-silvopasture",0.0453,-0.1047,0.1952,0.5972,129,0.5514,"QM (9, 80) = 1.2283, p =0.2898","no_significant_positive","0.5514"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Agroforestry",0.0689,0.0103,0.1275,2.3264,129,0.0216,"QM (9, 80) = 1.2283, p =0.2898","significant_positive","0.0216*"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Combined systems",0.0323,-0.0911,0.1557,0.5174,129,0.6058,"QM (9, 80) = 1.2283, p =0.2898","no_significant_positive","0.6058"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Cover crops",-0.0544,-0.1581,0.0493,-1.0376,129,0.3014,"QM (9, 80) = 1.2283, p =0.2898","no_significant_negative","0.3014"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Crop rotation",0.0205,-0.0476,0.0886,0.5955,129,0.5526,"QM (9, 80) = 1.2283, p =0.2898","no_significant_positive","0.5526"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Embedded seminatural habitats",0.028,-0.0827,0.1387,0.501,129,0.6172,"QM (9, 80) = 1.2283, p =0.2898","no_significant_positive","0.6172"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Fallow",0.0843,-0.0824,0.251,1.0004,129,0.319,"QM (9, 80) = 1.2283, p =0.2898","no_significant_positive","0.319"
"m_intervention_recla2","Physical capital","Farm size (continuous)","Intercropping",-4e-04,-0.0831,0.0824,-0.0086,129,0.9931,"QM (9, 80) = 1.2283, p =0.2898","no_significant_negative","0.9931"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Agro-silvopasture",0.1112,-0.0574,0.2798,1.3281,45,0.1908,"QM (9, 45) = 1.8387, p =0.0872","no_significant_positive","0.1908"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Agroforestry",-0.0105,-0.1117,0.0906,-0.2099,45,0.8347,"QM (9, 45) = 1.8387, p =0.0872","no_significant_negative","0.8347"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Combined systems",-0.0152,-0.165,0.1345,-0.2051,45,0.8384,"QM (9, 45) = 1.8387, p =0.0872","no_significant_negative","0.8384"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Cover crops",0.1212,-0.0666,0.3089,1.2998,45,0.2003,"QM (9, 45) = 1.8387, p =0.0872","no_significant_positive","0.2003"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Crop rotation",0.0234,-0.0757,0.1225,0.4753,45,0.6369,"QM (9, 45) = 1.8387, p =0.0872","no_significant_positive","0.6369"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Embedded seminatural habitats",0.1668,0.0473,0.2862,2.8125,45,0.0073,"QM (9, 45) = 1.8387, p =0.0872","significant_positive","0.0073**"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Fallow",0.0432,-0.0746,0.161,0.7391,45,0.4637,"QM (9, 45) = 1.8387, p =0.0872","no_significant_positive","0.4637"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Intercropping",0.0563,-0.046,0.1586,1.109,45,0.2733,"QM (9, 45) = 1.8387, p =0.0872","no_significant_positive","0.2733"
"m_intervention_recla2","Physical capital","Livestock units (continuous)","Rotational grazing",0.1088,-0.0472,0.2648,1.4052,45,0.1668,"QM (9, 45) = 1.8387, p =0.0872","no_significant_positive","0.1668"
"m_intervention_recla2","Social capital","Adults in household (continuous)","Agro-aquaculture",-0.2634,-0.9315,0.4046,-0.9325,7,0.3821,"QM (9, 7) = 20.305, p =3e-04","no_significant_negative","0.3821"
"m_intervention_recla2","Social capital","Adults in household (continuous)","Agro-silvopasture",-0.07,-0.3295,0.1894,-0.5754,15,0.5736,"QM (9, 7) = 20.305, p =3e-04","no_significant_negative","0.5736"
